GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  ,POP
01343,12606820.0,94167,4.868,0.036,42.657625,-72.978933,75.0
01344,35252177.0,1378696,13.611,0.532,42.613418,-72.426428,1498.0
01346,55312655.0,95459,21.356,0.037,42.693268,-72.823116,533.0
01347,1497726.0,221070,0.578,0.085,42.559294,-72.518753,166.0
01349,19913665.0,548465,7.689,0.212,42.563061,-72.482115,1091.0
01350,27739754.0,290998,10.71,0.112,42.727772,-72.985346,121.0
01351,54184370.0,1126535,20.921,0.435,42.53988,-72.521689,2270.0
01354,35664112.0,2664234,13.77,1.029,42.624101,-72.508607,1500.0
01355,122669023.0,35757840,47.363,13.806,42.458551,-72.327191,878.0
01360,88740952.0,2814933,34.263,1.087,42.677091,-72.453876,3032.0
01364,101615809.0,2843803,39.234,1.098,42.605437,-72.292074,7969.0
01366,104578990.0,1454150,40.378,0.561,42.475621,-72.192468,1277.0
01367,68716295.0,1772428,26.532,0.684,42.695532,-72.909148,522.0
01368,108362244.0,1836500,41.839,0.709,42.679456,-72.176935,1261.0
01370,129008495.0,1466298,49.81,0.566,42.593376,-72.726927,4084.0
01373,62597988.0,1469902,24.169,0.568,42.475481,-72.615403,4600.0
01375,36831455.0,1348186,14.221,0.521,42.466691,-72.546751,3684.0
01376,7142833.0,1472747,2.758,0.569,42.59528,-72.555002,5247.0
01378,88126714.0,814990,34.026,0.315,42.673533,-72.353213,774.0
01379,78225279.0,969191,30.203,0.374,42.55631,-72.407148,813.0
01420,78524434.0,1778703,30.318,0.687,42.584925,-71.816862,40337.0
01430,95701766.0,6785475,36.951,2.62,42.657005,-71.923442,6089.0
01431,61290097.0,1000255,23.664,0.386,42.676293,-71.832523,3074.0
01432,21910117.0,1240734,8.46,0.479,42.564663,-71.567298,7089.0
01434,13669085.0,401234,5.278,0.155,42.538903,-71.612027,1795.0
01436,24837851.0,512349,9.59,0.198,42.602059,-72.087015,3336.0
01438,1403966.0,48433,0.542,0.019,42.562243,-72.031402,559.0
01440,62245173.0,2514727,24.033,0.971,42.588337,-71.986069,20347.0
01450,84887956.0,2590936,32.775,1.0,42.61176,-71.565269,10646.0
01451,49574292.0,1682062,19.141,0.649,42.501908,-71.568201,4747.0
01452,106327331.0,2406515,41.053,0.929,42.489598,-72.002878,4382.0
01453,73747919.0,1369889,28.474,0.529,42.519977,-71.763202,40883.0
01460,42773948.0,2574959,16.515,0.994,42.535931,-71.490569,8924.0
01462,68437073.0,3423861,26.424,1.322,42.582607,-71.720464,10086.0
01463,58471579.0,1548500,22.576,0.598,42.670643,-71.602858,11497.0
01464,38804944.0,201617,14.983,0.078,42.573654,-71.640986,7211.0
01467,4891512.0,38884,1.889,0.015,42.489646,-71.609577,316.0
01468,55435947.0,697085,21.404,0.269,42.542767,-72.068345,4021.0
01469,58987947.0,606711,22.775,0.234,42.664828,-71.695087,6801.0
01473,91782535.0,4706357,35.437,1.817,42.5546,-71.90544,7277.0
01474,25720066.0,78185,9.931,0.03,42.669685,-71.752751,2125.0
01475,110976640.0,2711822,42.848,1.047,42.66816,-72.055644,10270.0
01501,40039684.0,2404899,15.459,0.929,42.198708,-71.846006,16075.0
01503,33599588.0,524072,12.973,0.202,42.384929,-71.633889,2866.0
01504,28774206.0,825566,11.11,0.319,42.039991,-71.532406,9026.0
01505,41586648.0,9557756,16.057,3.69,42.355049,-71.716157,4355.0
01506,40216388.0,2734658,15.528,1.056,42.180788,-72.107891,3390.0
01507,109244212.0,4178897,42.179,1.613,42.133935,-71.968025,12981.0
01510,14642433.0,4176666,5.653,1.613,42.411887,-71.690005,13606.0
01515,25570218.0,1427831,9.873,0.551,42.209682,-72.040178,2183.0
01516,95233279.0,4020460,36.77,1.552,42.053072,-71.752241,8500.0
01518,23005047.0,1929956,8.882,0.745,42.127477,-72.118818,2974.0
01519,28262682.0,279339,10.912,0.108,42.203404,-71.679739,6595.0
01520,46830031.0,1794650,18.081,0.693,42.336372,-71.850626,13997.0
01521,31832963.0,1990946,12.291,0.769,42.046799,-72.180144,2481.0
01522,42423772.0,1400937,16.38,0.541,42.375634,-71.867382,3310.0
01523,65266074.0,1166195,25.199,0.45,42.483569,-71.675585,7582.0
01524,41376342.0,2508025,15.975,0.968,42.249603,-71.919217,6696.0
01525,1162429.0,81163,0.449,0.031,42.106794,-71.630518,290.0
01527,40346710.0,1861969,15.578,0.719,42.192246,-71.777649,13246.0
01529,12596928.0,143331,4.864,0.055,42.036642,-71.578779,3190.0
