[A]행정구역별(시군구),행정구역별(시군구),[V]직업별,시점,취업인구-현거주지,취업인구-근무지
22040,남구,0,2015년,67827,55872
22040,남구,1,2015년,763,719
22040,남구,2,2015년,14194,15439
22040,남구,3,2015년,8543,7990
22040,남구,4,2015년,9648,8436
22040,남구,5,2015년,10385,7495
22040,남구,6,2015년,229,87
22040,남구,7,2015년,7564,5478
22040,남구,8,2015년,7601,3490
22040,남구,9,2015년,8822,6635
22040,남구,10,2015년,78,103
22050,북구,0,2015년,198867,182676
22050,북구,1,2015년,2200,2340
22050,북구,2,2015년,37618,35744
22050,북구,3,2015년,33773,28496
22050,북구,4,2015년,20124,18543
22050,북구,5,2015년,28430,27022
22050,북구,6,2015년,1612,1045
22050,북구,7,2015년,21518,20166
22050,북구,8,2015년,31505,27991
22050,북구,9,2015년,21395,20787
22050,북구,10,2015년,692,542
22060,수성구,0,2015년,182532,139169
22060,수성구,1,2015년,5780,2864
22060,수성구,2,2015년,55895,39349
22060,수성구,3,2015년,32295,23635
22060,수성구,4,2015년,18690,18682
22060,수성구,5,2015년,24586,19932
22060,수성구,6,2015년,1590,897
22060,수성구,7,2015년,13072,10680
22060,수성구,8,2015년,14154,7577
22060,수성구,9,2015년,15395,14682
22060,수성구,10,2015년,1075,871
22070,달서구,0,2015년,268645,235667
22070,달서구,1,2015년,2944,2526
22070,달서구,2,2015년,53438,46226
22070,달서구,3,2015년,49463,39392
22070,달서구,4,2015년,28443,26231
22070,달서구,5,2015년,34403,29275
22070,달서구,6,2015년,1411,596
22070,달서구,7,2015년,26529,23399
22070,달서구,8,2015년,46831,44346
22070,달서구,9,2015년,24922,23551
22070,달서구,10,2015년,261,125
22310,달성군,0,2015년,87438,93830
22310,달성군,1,2015년,460,792
22310,달성군,2,2015년,13805,13886
22310,달성군,3,2015년,13344,14136
22310,달성군,4,2015년,7704,7585
22310,달성군,5,2015년,7664,6003
22310,달성군,6,2015년,4825,4798
22310,달성군,7,2015년,8165,10077
22310,달성군,8,2015년,21867,26088
22310,달성군,9,2015년,9526,10431
22310,달성군,10,2015년,78,34
23,인천광역시,0,2015년,1363924,1177561
23,인천광역시,1,2015년,18319,16417
23,인천광역시,2,2015년,261395,218826
23,인천광역시,3,2015년,248918,203464
23,인천광역시,4,2015년,147059,135399
23,인천광역시,5,2015년,171371,141145
23,인천광역시,6,2015년,14854,14541
23,인천광역시,7,2015년,141772,120309
23,인천광역시,8,2015년,209429,187903
23,인천광역시,9,2015년,146145,135643
23,인천광역시,10,2015년,4662,3914
23003,동부,0,2015년,1319539,1092760
23003,동부,1,2015년,18080,15373
23003,동부,2,2015년,256590,210008
23003,동부,3,2015년,244554,190980
23003,동부,4,2015년,141731,125209
23003,동부,5,2015년,168309,133269
23003,동부,6,2015년,4185,3432
23003,동부,7,2015년,139171,113185
23003,동부,8,2015년,205560,177122
23003,동부,9,2015년,138174,121968
23003,동부,10,2015년,3185,2214
